@relation STORM_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,245,30,9,282,208,31,445,237,49,679,562,75,No
1,266,1,1,17,17,17,17,17,17,565,565,565,No
1,106,1,1,17,17,17,17,17,17,565,565,565,No
1,72,1,1,17,17,17,17,17,17,565,565,565,No
1,48,1,1,17,17,17,17,17,17,565,565,565,No
1,42,1,1,17,17,17,17,17,17,565,565,565,No
1,67,1,1,67,67,67,17,17,17,565,565,565,No
1,100,1,1,17,17,17,17,17,17,565,565,565,No
1,179,8,2,40,17,20,54,37,27,619,563,310,No
1,181,1,1,17,17,17,17,17,17,565,565,565,No
1,51,1,1,51,51,51,17,17,17,565,565,565,No
1,60,1,1,60,60,60,17,17,17,565,565,565,No
1,186,1,1,17,17,17,17,17,17,565,565,565,No
1,63,1,1,17,17,17,17,17,17,565,565,565,No
1,62,1,1,17,17,17,17,17,17,565,565,565,No
1,41,1,1,41,41,41,17,17,17,565,565,565,No
1,85,1,1,17,17,17,17,17,17,565,565,565,No
1,37,1,1,17,17,17,17,17,17,565,565,565,No
1,86,1,1,17,17,17,17,17,17,565,565,565,No
1,34,1,1,34,34,34,17,17,17,565,565,565,No
1,83,1,1,17,17,17,17,17,17,565,565,565,No
1,54,1,1,17,17,17,17,17,17,565,565,565,No
1,67,1,1,17,17,17,17,17,17,565,565,565,No
1,36,1,1,17,17,17,17,17,17,565,565,565,No
1,44,1,1,17,17,17,17,17,17,565,565,565,No
1,359,1,1,17,17,17,17,17,17,565,565,565,No
1,94,1,1,17,17,17,17,17,17,565,565,565,No
1,96,1,1,17,17,17,17,17,17,565,565,565,No
1,217,1,1,17,17,17,17,17,17,565,565,565,No
1,510,1,1,17,17,17,17,17,17,565,565,565,No
1,56,1,1,17,17,17,17,17,17,565,565,565,No
1,69,1,1,17,17,17,17,17,17,565,565,565,No
1,159,1,1,17,17,17,17,17,17,565,565,565,No
1,142,1,1,17,17,17,17,17,17,565,565,565,No
1,149,1,1,17,17,17,17,17,17,565,565,565,No
1,139,1,1,17,17,17,17,17,17,565,565,565,No
1,171,1,1,17,17,17,17,17,17,565,565,565,No
1,351,1,1,17,17,17,17,17,17,565,565,565,No
1,84,2,2,22,17,11,17,17,9,778,565,389,No
1,182,4,2,40,19,20,56,39,28,620,563,310,No
1,177,1,1,17,17,17,17,17,17,565,565,565,No
1,68,1,1,17,17,17,17,17,17,565,565,565,No
