@relation BOOKKEEPER_Dataset-weka.filters.unsupervised.instance.RemoveDuplicates

@attribute Version numeric
@attribute Size numeric
@attribute LOC_Touched numeric
@attribute NR numeric
@attribute LOC_Added numeric
@attribute Max_LOC_Added numeric
@attribute Avg_LOC_Added numeric
@attribute Churn numeric
@attribute Max_Churn numeric
@attribute Avg_Churn numeric
@attribute ChgSetSize numeric
@attribute Max_ChgSetSize numeric
@attribute Avg_ChgSetSize numeric
@attribute Bugginess {No,Yes}

@data
1,363,2,1,11,9,11,6,6,6,273,273,273,No
1,242,15,5,31,10,6,64,18,13,806,273,161,No
1,682,79,7,180,19,26,520,97,74,870,272,124,Yes
1,366,23,5,26,2,5,3,1,1,768,236,154,Yes
1,103,12,4,15,2,4,18,5,5,729,273,182,No
1,66,5,1,14,4,14,1,1,1,272,272,272,No
1,63,3,3,19,9,6,45,18,15,678,272,226,No
1,47,4,1,4,1,4,0,0,0,272,272,272,No
1,183,15,3,18,2,6,-4,0,-1,550,272,183,No
1,98,2,1,3,2,3,1,1,1,317,317,317,No
1,143,1,1,5,5,5,5,5,5,433,433,433,Yes
1,56,2,1,3,2,3,0,0,0,433,433,433,Yes
1,51,1,1,1,1,1,0,0,0,272,272,272,No
1,104,7,1,7,1,7,0,0,0,272,272,272,No
1,162,1,1,1,1,1,0,0,0,272,272,272,Yes
1,6523,247,2,23398,6451,11699,34728,21962,17364,462,268,231,No
1,153,2,1,2,1,2,0,0,0,272,272,272,No
1,43,1,1,1,1,1,0,0,0,433,433,433,Yes
1,41,1,1,1,1,1,0,0,0,272,272,272,No
1,105,17,2,55,15,28,10,9,5,423,272,212,No
1,105,21,4,45,7,11,7,2,2,542,272,136,No
1,92,19,3,38,4,13,9,7,3,461,272,154,No
1,101,13,2,51,9,26,2,1,1,423,272,212,No
1,299,5,3,13,7,4,22,10,7,693,272,231,Yes
1,32,4,2,5,2,3,1,1,1,596,317,298,Yes
1,35,1,1,1,1,1,0,0,0,272,272,272,No
1,85,1,1,4,4,4,4,4,4,433,433,433,Yes
1,36,3,3,8,5,3,16,7,5,711,272,237,Yes
1,574,31,5,50,4,10,44,13,9,875,240,175,No
1,67,6,2,19,10,10,6,3,3,562,290,281,No
1,29,1,1,1,1,1,0,0,0,272,272,272,No
1,72,8,2,9,2,5,16,8,8,562,290,281,No
1,37,3,1,3,1,3,0,0,0,272,272,272,No
1,77,11,2,20,5,10,18,9,9,562,290,281,No
1,168,21,3,26,2,9,44,15,15,663,272,221,No
1,81,9,2,11,2,6,18,9,9,562,290,281,No
1,436,39,8,133,45,17,629,108,79,1000,172,125,No
1,76,2,1,2,1,2,0,0,0,272,272,272,No
1,160,5,3,6,2,2,5,2,2,663,272,221,No
1,906,75,5,367,97,73,742,190,148,786,272,157,Yes
1,74,2,1,2,1,2,0,0,0,272,272,272,No
1,94,3,2,4,2,2,2,1,1,423,272,212,No
1,481,26,4,75,12,19,206,55,52,808,272,202,Yes
1,94,6,2,8,3,4,6,3,3,540,272,270,No
1,27,1,1,1,1,1,0,0,0,272,272,272,No
1,77,2,1,2,1,2,0,0,0,272,272,272,No
