Project,Version,Filename,Size,LOC_Touched,NR,LOC_Added,Max_LOC_Added,Avg_LOC_Added,Churn,Max_Churn,Avg_Churn,ChgSetSize,Max_ChgSetSize,Avg_ChgSetSize,Bugginess
STORM,1,storm-core/src/jvm/backtype/storm/generated/NullStruct.java,242,13,2,33,17,17,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/RebalanceOptions.java,566,25,2,55,17,28,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/ShellComponent.java,434,20,2,45,17,23,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/SpoutSpec.java,444,22,2,47,17,24,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/SpoutStats.java,773,38,2,78,19,39,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/StateSpoutSpec.java,444,22,2,47,17,24,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/StormTopology.java,677,32,2,66,17,33,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/StreamInfo.java,479,24,2,50,17,25,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/SubmitOptions.java,357,18,2,40,17,20,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java,723,34,2,68,17,34,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/TopologyInfo.java,935,44,2,85,17,43,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/TopologyInitialStatus.java,61,3,2,19,17,10,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/generated/TopologySummary.java,912,42,2,82,17,41,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java,43,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/BaseTaskHook.java,61,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/ITaskHook.java,38,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/info/BoltAckInfo.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/info/BoltExecuteInfo.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/info/BoltFailInfo.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/info/EmitInfo.java,35,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutAckInfo.java,30,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/hooks/info/SpoutFailInfo.java,30,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/messaging/IConnection.java,38,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/messaging/IContext.java,59,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/messaging/TaskMessage.java,53,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/messaging/TransportFactory.java,57,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/LoggingMetricsConsumer.java,72,1,1,17,17,17,17,17,17,563,563,563,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/MetricsConsumerBolt.java,64,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/SystemBolt.java,155,7,4,32,17,8,70,18,18,631,562,158,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/AssignableMetric.java,34,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/CombinedMetric.java,38,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/CountMetric.java,41,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/ICombiner.java,23,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/IMetric.java,22,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/IMetricsConsumer.java,60,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/IReducer.java,24,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/IStatefulObject.java,22,1,1,17,17,17,17,17,17,563,563,563,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/MeanReducer.java,55,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/MultiCountMetric.java,45,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/MultiReducedMetric.java,50,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/ReducedMetric.java,38,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/metric/api/StateMetric.java,31,1,1,17,17,17,17,17,17,563,563,563,No
STORM,1,storm-core/src/jvm/backtype/storm/nimbus/DefaultTopologyValidator.java,31,4,4,22,17,6,74,20,19,627,563,157,No
STORM,1,storm-core/src/jvm/backtype/storm/nimbus/ITopologyValidator.java,28,5,5,21,17,4,87,18,17,578,564,116,No
STORM,1,storm-core/src/jvm/backtype/storm/planner/CompoundSpout.java,25,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/planner/CompoundTask.java,25,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/planner/TaskBundle.java,33,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/Cluster.java,435,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/ExecutorDetails.java,54,1,1,54,54,54,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/INimbus.java,39,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/IScheduler.java,40,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/ISupervisor.java,45,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignment.java,58,1,1,57,57,57,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/SchedulerAssignmentImpl.java,110,1,1,109,109,109,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/SupervisorDetails.java,89,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/Topologies.java,57,1,1,57,57,57,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/TopologyDetails.java,89,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/scheduler/WorkerSlot.java,52,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java,98,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/IAuthorizer.java,47,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/ITransportPlugin.java,55,2,2,21,17,11,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/ReqContext.java,108,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/SaslTransportPlugin.java,160,2,2,29,17,15,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/SimpleTransportPlugin.java,124,2,2,29,17,15,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/ThriftClient.java,79,2,2,22,17,11,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/ThriftServer.java,79,2,2,19,17,10,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/DenyAuthorizer.java,57,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/authorizer/NoopAuthorizer.java,57,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/digest/ClientCallbackHandler.java,110,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/digest/DigestSaslTransportPlugin.java,69,2,2,22,17,11,17,17,9,778,565,389,No
STORM,1,storm-core/src/jvm/backtype/storm/security/auth/digest/ServerCallbackHandler.java,114,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/security/serialization/BlowfishTupleSerializer.java,89,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/DefaultKryoFactory.java,64,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/IKryoDecorator.java,23,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/IKryoFactory.java,40,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/ITupleDeserializer.java,25,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/ITupleSerializer.java,26,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/KryoTupleDeserializer.java,59,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/KryoTupleSerializer.java,60,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/KryoValuesDeserializer.java,51,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/KryoValuesSerializer.java,58,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/SerializableSerializer.java,61,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/SerializationFactory.java,224,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/types/ArrayListSerializer.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/types/HashMapSerializer.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/types/HashSetSerializer.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/serialization/types/ListDelegateSerializer.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/IMultiSchemableSpout.java,23,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/ISchemableSpout.java,24,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/ISpout.java,105,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/ISpoutOutputCollector.java,30,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/ISpoutWaitStrategy.java,34,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/MultiScheme.java,28,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/NothingEmptyEmitStrategy.java,31,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/RawMultiScheme.java,38,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/RawScheme.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/Scheme.java,28,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/SchemeAsMultiScheme.java,41,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/ShellSpout.java,137,17,6,157,117,26,235,136,39,616,565,103,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/SleepSpoutWaitStrategy.java,41,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/spout/SpoutOutputCollector.java,134,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/state/IStateSpout.java,29,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/state/IStateSpoutOutputCollector.java,22,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/state/ISubscribedState.java,25,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/state/ISynchronizeOutputCollector.java,24,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/state/StateSpoutOutputCollector.java,28,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/state/SynchronizeOutputCollector.java,30,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/GeneralTopologyContext.java,198,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/IBolt.java,84,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/IErrorReporter.java,22,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/IMetricsContext.java,31,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/IOutputCollector.java,32,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/OutputCollector.java,225,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/ShellBolt.java,245,30,9,282,208,31,445,237,49,679,562,75,No
STORM,1,storm-core/src/jvm/backtype/storm/task/TopologyContext.java,266,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/task/WorkerTopologyContext.java,106,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/AckFailDelegate.java,25,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/AckFailMapTracker.java,52,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/AckTracker.java,52,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/BatchNumberList.java,72,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/BatchProcessWord.java,39,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/BatchRepeatA.java,48,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/BoltTracker.java,42,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/CompleteTopologyParam.java,67,1,1,67,67,67,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/CountingBatchBolt.java,55,1,1,17,17,17,17,17,17,565,565,565,No
STORM,1,storm-core/src/jvm/backtype/storm/testing/CountingCommitBolt.java,57,1,1,17,17,17,17,17,17,565,565,565,No
